transaction_id,customer_id,timestamp,hour_of_day,day_of_week,amount,avg_amount_30d,amount_to_avg_ratio,mcc,merchant_name,merchant_risk_base,channel,device_type,device_fingerprint,is_new_device,is_night_time,tx_count_1h,tx_count_24h,geo_distance_km,latitude,longitude,is_fraud
ea77d34e-b9fe-4587-8fdd-8479dce7aec5,a6dfdca0-f22f-493f-87d2-65a3259d1f95,2026-07-01T06:00:31,6,2,92.66,77.04,1.203,5411,Tesco Stores UK,5,MOBILE_APP,WEB_BROWSER_CHROME,dev_fp_1154_9540,0,0,2,1,1.28,53.79325857292745,-1.5637256630834495,0
92096a29-414e-47f1-bfc2-c19c13c2408d,55f7cb58-90f9-4cd0-90de-e0c193755051,2026-07-01T06:01:59,6,2,16.82,16.26,1.034,5311,Amazon UK Retail,10,MOBILE_APP,WEB_BROWSER_SAFARI,dev_fp_1202_7223,0,0,1,1,2.84,51.47928489387757,-2.597602848516169,0
611881ef-5fd1-4417-94fe-fbc934f6c9ba,a6dfdca0-f22f-493f-87d2-65a3259d1f95,2026-07-01T06:04:17,6,2,66.69,77.04,0.866,5411,Sainsbury's Supermarkets,5,MOBILE_APP,WEB_BROWSER_SAFARI,dev_fp_1154_9540,0,0,1,3,2.11,53.77511237586362,-1.5545719316510371,0
48b3d6f3-4243-4f69-9c72-58f2c601be18,a30b5caf-a71f-44f5-abe4-16a1f41b8583,2026-07-01T06:05:12,6,2,21.9,33.27,0.658,6051,Binance UK Crypto Exchange,75,MOBILE_APP,WEB_BROWSER_CHROME,dev_fp_286_3704,0,0,1,1,3.78,51.50780095383945,-0.18234469772510717,0
bbbde732-0fbf-4317-a2f2-8352f8024176,fd89e049-1705-4a16-91eb-d44ac606108b,2026-07-01T06:06:05,6,2,23.43,25.15,0.932,4111,Transport for London (TfL),2,MOBILE_APP,WEB_BROWSER_SAFARI,dev_fp_475_6213,0,0,1,3,2.13,53.78569954732151,-1.5291018268314895,0
56100e86-d291-41ba-a36c-d0a6ac93de4b,67a04ad0-3123-4523-a982-8e67fc5171c6,2026-07-01T06:10:10,6,2,22.27,25.19,0.884,5732,Currys PC World,25,MOBILE_APP,WEB_BROWSER_CHROME,dev_fp_559_9071,0,0,1,4,1.3,52.47454101119683,-1.890868063259717,0
47764d10-ccf4-4185-b685-5fabcda56cf0,e3a206ff-f147-4045-a202-e2a57d974dd8,2026-07-01T06:13:39,6,2,25.72,25.46,1.01,5411,Tesco Stores UK,5,ONLINE_BANKING,WEB_BROWSER_CHROME,dev_fp_1199_7841,0,0,1,2,3.5,51.44964401067345,-2.6377809928765057,0
348963cc-d88c-4cb1-b30d-f59edfb2d591,c21f4340-9a7c-4e94-82a2-77d8cbe12460,2026-07-01T06:16:11,6,2,20.36,40.05,0.508,6051,Binance UK Crypto Exchange,75,MOBILE_APP,MOBILE_ANDROID,dev_fp_168_4335,0,0,1,4,2.13,51.4684813586248,-2.566957323064329,0
76facab7-bf12-42cd-b4c5-c7c72be22b33,37dd4c07-79f7-4dbe-a6af-97e75c337577,2026-07-01T06:17:12,6,2,1263.8,72.76,17.369,7995,Bet365 Online,65,MOBILE_APP,WEB_BROWSER_CHROME,hacker_dev_8776b014,1,0,2,3,25.76,52.33755124098848,-1.5991851757828992,1
83c46ec3-9550-4a77-999f-8543b4373ebc,736dbe0a-aef9-48bf-9ad4-dcae565a3244,2026-07-01T06:19:02,6,2,16.37,20.49,0.799,5411,Tesco Stores UK,5,ONLINE_BANKING,WEB_BROWSER_SAFARI,dev_fp_178_2232,0,0,1,1,3.58,51.48205475826896,-0.1596947664131594,0
